Job Type,Job Title,Location,Job Link,Scraped Date (DD-MM-YYYY),Employment Type,Experience Level
ART/CREATIVE,Senior Graphic Designer,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/PrimeTalent/226e7d66-dc21-46da-83cd-5db5498057e7.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ART/CREATIVE,Procurement Specialist,"Adma w Dafnah, Lebanon",https://jobs.jobsforhumanity.com/KristiesLab/fc1e6bd2-3c70-4d04-8409-eb4279bd030a.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Assistant Storekeeper,"Hadath, Lebanon",https://jobs.jobsforhumanity.com/Other/4cf1cf56-d5ca-4a40-b8eb-f8b70164c2b2.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
TRAINING,Personal Trainer & Fitness Expert,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/(Confidential)/e8ac3e07-51e0-4737-b63a-21a72f926791.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Contract,Not Applicable
SALES,Pharmaceutical Outdoor Sales – Beirut/Matn/Kesserwan,"Zalqa, Lebanon",https://jobs.jobsforhumanity.com/Malia Group/f2a8f23e-c24f-41a2-8ff0-515dfdcd0532.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
CONSULTING,Comprehensive Analysis Of Digital Transformation Services In...,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Advanced Technology Services/85bc203d-d8d9-4eee-8687-ac75104625ef.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Contract,Entry Level
ADMINISTRATIVE,Administrative Assistant,Remote,https://jobs.jobsforhumanity.com/Phoenix Offshore/c9232590-5d93-4b0d-9010-1e6d17d69904.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
CUSTOMER SERVICE,Customer Service Representative,Remote,https://jobs.jobsforhumanity.com/Phoenix Offshore/adcd23ee-1c27-41e6-a575-4d5dcc499cec.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
OTHER,Replo Page Builder Specialist,Remote,https://jobs.jobsforhumanity.com/Convert Like Crazy/3c8e6775-2978-42ca-96ea-199302ec1bde.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ENGINEERING,Interior Design,"Riyadh, Saudi Arabia",https://jobs.jobsforhumanity.com/confidential/15f028e4-6770-406d-9273-f00df779d8ec.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Animal Nutritionist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/LVL - Lebanese Veterinary Laboratories/a11615cf-467d-4263-a4d0-328231261b44.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
MANUFACTURING,Machine Operator,"Baabdat, Lebanon",https://jobs.jobsforhumanity.com/LVL - Lebanese Veterinary Laboratories/f2c67d82-2702-410d-a670-dfbb410b5cdb.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
MARKETING,Marketing Specialist,"Baabdat, Lebanon",https://jobs.jobsforhumanity.com/LVL - Lebanese Veterinary Laboratories/293f8d3e-7426-43ed-b434-0c86806fce61.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
BUSINESS DEVELOPMENT,Secretary,"Baabdat, Lebanon",https://jobs.jobsforhumanity.com/LVL - Lebanese Veterinary Laboratories/a70949c8-4a2a-48a4-b10f-f22e437f2ae1.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
BUSINESS DEVELOPMENT,Accounting Administrative Assistant,"Baabdat, Lebanon",https://jobs.jobsforhumanity.com/LVL - Lebanese Veterinary Laboratories/ef036069-7b48-4096-911b-b03426b0873c.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
BUSINESS DEVELOPMENT,Business Development Manager,"Baabdat, Lebanon",https://jobs.jobsforhumanity.com/LVL - Lebanese Veterinary Laboratories/f1899328-c671-4be9-a9fa-dabde5163335.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
MANUFACTURING,Quality Control Specialist,"Baabdat, Lebanon",https://jobs.jobsforhumanity.com/LVL - Lebanese Veterinary Laboratories/ec4637b9-eb8b-42e8-b2c9-b1024a6b9ea0.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
OTHER,Offshore Administrative Assistant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/ef2c1d21-90d9-4875-96cd-9c9eea372627.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
MANUFACTURING,Production Technician,"Baabdat, Lebanon",https://jobs.jobsforhumanity.com/LVL - Lebanese Veterinary Laboratories/0658d639-ec5a-42bd-b54e-4a609bc2adb9.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
SALES,Graphic Designer,"Baabdat, Lebanon",https://jobs.jobsforhumanity.com/LVL - Lebanese Veterinary Laboratories/5a2224ca-e0b3-458f-ac35-973284a84f46.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
SALES,Technical Sales Specialist,"Baabdat, Lebanon",https://jobs.jobsforhumanity.com/LVL - Lebanese Veterinary Laboratories/d6f3e7a7-f860-43e2-84fc-28d17f4f77f9.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
MANUFACTURING,Production Supervisor,"Baabdat, Lebanon",https://jobs.jobsforhumanity.com/LVL - Lebanese Veterinary Laboratories/cdf7c3a0-fa5e-4e53-9179-e2e39ad237e0.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
ENGINEERING,Architect,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Jamil Ibrahim est./100af1cc-ff02-4316-956a-efeb4924ee45.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ENGINEERING,Architect,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Jamil Ibrahim est./d528fda2-e6e4-4ef2-a297-44e8620bba0a.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Area Operation Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/d8a2695d-4917-43e2-9f91-c9b2299d08c9.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Part Time Female Admin Assistant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/87b8cdeb-3369-48d5-8cd6-ef4563e1f35d.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Part-time,Internship
OTHER,Digital Marketing Specialist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/BBCORP/b2a1eee5-6fee-4996-9657-7430a8c2496b.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ART/CREATIVE,Graphic Designer ( Brand Identity – Social...,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Lanny/41b6d733-91bd-419d-956f-dd9cbd5df5ee.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Site Engineer,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Jamil Ibrahim est/0c71f4f3-aa97-4b9e-bd4f-01ddf0e544fd.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ENGINEERING,Tech Lead,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/toters delivery/546626fb-490a-4982-85ca-34d6376127a7.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ADVERTISING,Creative Art Director,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Intouch/b06d0233-0748-4799-9cd5-7dabaaf835e9.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ENGINEERING,Tech Lead,Remote,https://jobs.jobsforhumanity.com/Other/c88205cd-81dc-4548-9416-faba1dfe0923.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ART/CREATIVE,Motion Graphic Designer/ Animator,"Adma w Dafnah, Lebanon",https://jobs.jobsforhumanity.com/KristiesLab/9f58eb2a-5d3d-481e-a3d0-fdb1a8cd39af.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
CONSULTING,Copy Writer And Translator,Remote,https://jobs.jobsforhumanity.com/Migrate World/c69578ff-ceea-434b-8c8f-5a17efd71cc2.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
SALES,Indoor Sales Supervisor,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/f6263fc1-008e-4521-a07e-94f9eedd61fb.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
CONSULTING,Copy Writer And Translator,Remote,https://jobs.jobsforhumanity.com/Migrate World/4762c2f0-2180-4056-9c75-fab678e74343.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
MARKETING,Logistics & Event Coordinator,"Adma w Dafnah, Lebanon",https://jobs.jobsforhumanity.com/KristiesLab/95d88633-80f8-4b91-92b6-ec593f465d3d.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ENGINEERING,Senior Site Technician,"Abidjan, Cote dIvoire",https://jobs.jobsforhumanity.com/CCL/eeeea223-346c-459e-84d2-a2246b9962bb.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
SALES,Indoor Sales Associate,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/513b90c1-b4f9-4619-afae-c825a4059152.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
INFORMATION TECHNOLOGY,Account Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Other/84ccaea0-2f1a-472b-a843-cc96b313be53.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
INFORMATION TECHNOLOGY,Indoor Sales Representative,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Other/c0b6ff0e-104e-4cf0-8392-f86c0946099e.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
OTHER,Social Media Strategist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Times Square/0c2577ac-ef63-41c7-81f1-de00f15b3d4d.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Factory Operations Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Quality wipes llc/e660bddf-6710-4d10-b4df-b945ad052241.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ENGINEERING,Fire Alarm Technician / Engineer,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/6444dbc2-faac-4d85-bdcf-b97b4c345199.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
INFORMATION TECHNOLOGY,App Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/RECRUITMENT/06906b5c-ce5c-45bb-859b-9d476f6d3a8e.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
LEGAL,Trainee Lawyers And Qualified Lawyers,"Baouchriyeh, Lebanon",https://jobs.jobsforhumanity.com/confidential/3a6e6f0e-8d32-48d2-a974-8aca3696f588.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
SALES,Tele Sales,Remote,https://jobs.jobsforhumanity.com/multinational insurance company/0771c01a-9783-4d59-83ce-01daa4876695.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
OTHER,Accountant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/NN/0083fefd-234c-45db-b120-847bc15aa92b.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Accountant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/NN/d4a43717-bee9-4401-8b08-72a803932ae5.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Sales Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/multinational insurance company/e161cbce-6655-4cdd-b2c5-c434bcf6e2b8.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Sales Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/multinational insurance company/2bf14b92-79dc-46c8-a0f0-57aeefe39ce3.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
MANUFACTURING,Internship Opportunity (Remote): Engineering Technical Selection,Remote,https://jobs.jobsforhumanity.com/SODECA/f0149312-d0eb-4fa8-a023-0f75b28fc79d.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Intern,Internship
PRODUCTION,Treasurer,"Sidon, Lebanon",https://jobs.jobsforhumanity.com/Sayed Farms/4053bb7e-3614-4d03-8870-198d44a8fe7f.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Executive
OTHER,Inventory Control Specialist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Spar Vipsupermercado/ac249298-df03-45f6-bdc6-c0dbb03b78d8.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Cashier Supervisor,"Mozambique, Mozambique",https://jobs.jobsforhumanity.com/Spar Vipsupermercado/e36690be-5c2e-4f14-a0e3-130a8e39d80e.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Supermarket Supervisor,"Mozambique, Mozambique",https://jobs.jobsforhumanity.com/Spar Vipsupermercado/388b576c-800f-4ba3-98b1-564cdb436098.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Warehouse Supervisor,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Spar Vipsupermercado/4420f6fe-e6fc-435a-82e2-69620aa1b502.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
LEGAL,Full-Time Administrative & Support Roles – Join...,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/confidential/5eeac0a6-571f-4cae-96f8-0a1808b676bd.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
ENGINEERING,Landscape Architect,"Lebanon, Indiana, US",https://jobs.jobsforhumanity.com/confidential/bf9871b6-c32f-4026-af1d-eca4ec228468.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
OTHER,Recruitment Specialist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Park Staffing & Consulting Services/78123d43-e5b1-49d7-a71c-11649d69e3a7.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ACCOUNTING/AUDITING,Senior Accountant,"Dbayeh, Lebanon",https://jobs.jobsforhumanity.com/NokNok S.A.L/831522c5-d769-4d16-a4cc-74a00287cc8b.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
PRODUCTION,Customer Experience & Quality Control Agent,"Dbayeh, Lebanon",https://jobs.jobsforhumanity.com/noknok S.A.L./5e474849-b488-4137-a9b2-358b3e5eb3a4.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
PROJECT MANAGEMENT,Customer Experience Manager (5:00 Pm – 2:00...,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/The Meaza Group/20a0bb51-cf15-4286-8074-9c591953a3de.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Executive
CONSULTING,Project Management Consultant (Independent),Remote,https://jobs.jobsforhumanity.com/Nucleus Ventures/e6c01add-f135-49d2-b28e-cdea85d7d6c7.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Contract,Mid-Senior Level
OTHER,CNC Machinist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/saad group/672cc1b8-becc-4216-92c8-1df62beb6949.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,CNC Machinist,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/saad group/8d93e07e-fe37-4851-8af7-87c3b09d7f60.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Administrative Secretary,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Institute of Innovation and professional development/8877058e-1075-4d10-914a-976f09fd9494.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Administrative Secretary,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Institute of Innovation and professional development/0575a101-3406-4c1e-955e-d4f98abd79ba.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ART/CREATIVE,Architect / Event Specialist,"Adma w Dafnah, Lebanon",https://jobs.jobsforhumanity.com/KristiesLab/e1fbd10b-a86a-43d6-bdb4-67feeeb1dcfc.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Maintenance Technician,"Lebanon, Lebanon",https://jobs.jobsforhumanity.com/noknok S.A.L./d4b1eb67-5e0d-4b51-9926-eb9ac150f0f7.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Executive
SALES,Sales Development Representative,Remote,https://jobs.jobsforhumanity.com/Phoenix Offshore/edb300d6-ae27-46c1-af0f-2e7cbf5ecf38.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Contract,Entry Level
OTHER,Cashier,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/A.Hage Trading/5d7e1066-78f6-4274-a0ba-e11f1279a51a.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Oracle HCM Techno-Functional Consultant,"Doha, Qatar",https://jobs.jobsforhumanity.com/Digisoft Technology Consulting/8a3dd652-a871-40fd-9b79-17842c1ec945.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ACCOUNTING/AUDITING,Accounting Administrative Assistant,"Baabdat, Lebanon",https://jobs.jobsforhumanity.com/LVL - Lebanese Veterinary Laboratories/2b277ac4-83c9-4307-a016-ef06d0eb71ee.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
DESIGN,Architect,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/confidential/cc40582d-d64a-4446-a957-a9b5c96b73a5.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
ART/CREATIVE,Logistics & Event Coordinator,"Doha, Qatar",https://jobs.jobsforhumanity.com/KristiesLab/5a759849-8954-4d7d-b7a1-d9d7fcb412a5.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ACCOUNTING/AUDITING,Head Accountant – In Baghdad / IRAK,"Baghdad, Iraq",https://jobs.jobsforhumanity.com/Other/1048613f-6b60-4306-92b8-ea218639ae26.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Receptionist,"Kaslik, Lebanon",https://jobs.jobsforhumanity.com/Serab Hotels/81f8e4d3-3de7-491f-8968-03a7d7ddded3.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,LinkedIn Login,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Dima for marketing and distribution/afa03a2b-8f3d-4922-98b3-78fd2429393f.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
PRODUCTION,Production Supervisor,"Nahr Ibrahim, Lebanon",https://jobs.jobsforhumanity.com/Malia Group/240169d4-3210-4fbb-862d-ff148585120d.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
ENGINEERING,Sales Support Engineer,Remote,https://jobs.jobsforhumanity.com/Vialighting for Trading LLC/e0c32bc0-5f6d-475f-9d68-afa8ecb8ebeb.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Not Applicable
INFORMATION TECHNOLOGY,Sales Representative,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Other/ef7986b9-744a-4cc5-ad2a-74b6649d5fe5.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
INFORMATION TECHNOLOGY,Male Senior IT And Network Administrator (for...,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/PrimeTalent/a71fc09c-7708-49e4-b445-90af5624f65c.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ACCOUNTING/AUDITING,Male Remote Accountant (for Lebanese Residents Only),"Beirut, Lebanon",https://jobs.jobsforhumanity.com/PrimeTalent/78102c71-2ce3-4664-8e24-de21c34a67b6.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
MARKETING,Marketing Manager (for Lebanese Residents Only),"Daoura, Lebanon",https://jobs.jobsforhumanity.com/PrimeTalent/1e7c5ccb-f4f6-4b54-bb3b-9f366f3f7f00.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Administrative Secretary,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Dr Elie Fares Dental Clinic/83ca6af0-6b49-4c4a-b3e8-6df49e64cf4d.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Financial Reporting Accountant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Tangible Markets Ltd./9cc497e8-12b8-4dbd-98b0-be4ce94faefd.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ANALYST,Junior Inventory Controller,"Zouk Mosbeh, Lebanon",https://jobs.jobsforhumanity.com/noknok S.A.L./99f94145-3acb-4419-9195-84b8c447782b.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
OTHER,Customer Support Associate,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Baselane/a51bc6fa-22ec-4bf2-a9d0-bbb49dd77c1e.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ART/CREATIVE,Senior Accountant,"Adma w Dafnah, Lebanon",https://jobs.jobsforhumanity.com/KristiesLab/86c60a7f-0423-4fca-a8f4-05924b87b829.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
DESIGN,Graphic Designer,Remote,https://jobs.jobsforhumanity.com/Jobs for lebanon/c226e61e-cc3d-4df8-8a5f-a19bc9478529.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Part-time,Entry Level
OTHER,Administrative Assistant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Ven Invest/e93580d3-dc12-4ca0-9f20-5835c4bf906a.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Executive
OTHER,SolidWorks Design Engineer,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Fabraca Studios/bb605658-ecd3-4f63-974b-2e534450f945.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Customer Service Associate,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/massoud/6458c45c-dd94-4099-802a-d7218f85536c.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
MARKETING,We Leaders Ambassadors,Remote,https://jobs.jobsforhumanity.com/We Leaders Program/f74e08b8-ab0a-49de-8307-4085278761a4.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Part-time,Entry Level
OTHER,Logistics Operations Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Nouvelle Librairie Raymond SAL/158741b6-259c-44ce-894e-3ca17ae21644.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ENGINEERING,Mid/Senior Fullstack Engineer,Remote,https://jobs.jobsforhumanity.com/Localista/b9fa9d5a-b5ef-458c-9cc3-ef8b6e2c2fe3.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Contract,Mid-Senior Level
OTHER,Administrative Assistant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/corpshine adviseres pvt ltd/ce685292-6567-4323-9ad4-b4449938ea81.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
CUSTOMER SERVICE,General Application,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/myteem LTD/239d6c0a-6fcf-4dee-86db-cc0a0737a866.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
MARKETING,Brand Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Other/944d1229-495e-4329-bf3a-786258391c9e.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ENGINEERING,Architect,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/confidential/9c0856cb-f832-4068-9785-ea13406f8601.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ART/CREATIVE,Senior Graphic Designer,"Adma w Dafnah, Lebanon",https://jobs.jobsforhumanity.com/KristiesLab/f03e33de-5595-490e-9768-8baa5b940101.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
