Job Type,Job Title,Location,Job Link,Scraped Date (DD-MM-YYYY),Employment Type,Experience Level
OTHER,Administrative Assistant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Delta Energy Group/a030fb5b-dea8-4a38-aadc-6f3bdbcd1796.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
DISTRIBUTION,Driver (Renewed 10 Tones License),"Roumieh, Lebanon",https://jobs.jobsforhumanity.com/PRINTCUT sal/6bddc004-4eeb-4d27-a000-09e8179b973d.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
OTHER,Cosmetics Sales Associate,"Orlando, Florida, US",https://jobs.jobsforhumanity.com/Business Lobby Talent Management/8e0d51f8-8ba3-4320-8c94-90562187897d.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Mechanical Piping Draftsman,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/EMCO Engineering Ltd/c8f66cd5-3cd1-4c6e-9f5e-939cf8c7b8ec.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ACCOUNTING/AUDITING,Accountant,"Roumieh, Lebanon",https://jobs.jobsforhumanity.com/PRINTCUT sal/214bb9fe-98f8-4d05-be38-5f32edf4f253.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ART/CREATIVE,Graphic Designer,"Roumieh, Lebanon",https://jobs.jobsforhumanity.com/PRINTCUT sal/6849cff4-43d7-4962-a48b-8e7020265306.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
INFORMATION TECHNOLOGY,Web Content Posting / Social Media Specialist,"Khalde, Lebanon",https://jobs.jobsforhumanity.com/Robban Assafina/86e09231-86ae-464b-bc05-4a75408db899.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Sales Manager – Technology Solutions,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/test_mar7/5a4ebe6b-f0df-4651-9908-bc28c4aa451a.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
MANAGEMENT,FMCG Outdoor Sales – Pet Industry,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Business Lobby Talent Management/880e9a3e-8feb-4388-8ff9-6139e3ad1278.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
MANAGEMENT,FMCG Brand Manager,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Business Lobby Talent Management/1f3a5877-924b-42ad-bd08-ca4b1c5b7b63.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Recruitment Consultant,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/Business Lobby Talent Management/99d88b47-e7d6-41d9-a8a1-8b5c98977668.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Entry Level
ACCOUNTING/AUDITING,Senior Accountant,"Roumieh, Lebanon",https://jobs.jobsforhumanity.com/PRINTCUT sal/4cb525f6-8e1e-4b02-8639-5157147a9b55.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
SALES,Senior Outdoor Sales Representative,"Roumieh, Lebanon",https://jobs.jobsforhumanity.com/PRINTCUT sal/b7f332d7-47b6-42e1-b42a-064d2ef657a3.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
ART/CREATIVE,CNC Operator,"Roumieh, Lebanon",https://jobs.jobsforhumanity.com/PRINTCUT sal/a0081965-0162-41aa-b8be-4b138071e0ea.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,CNC Operator,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/PRINTCUT sal/85e7a35f-632e-45ab-9e55-5d84baa1ade2.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
OTHER,Graphic Designer,"Beirut, Lebanon",https://jobs.jobsforhumanity.com/PRINTCUT sal/85e7a35f-632e-45ab-9e55-5d84baa1ade2.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Mid-Senior Level
DESIGN,Interior Designer,"Hazmieh, Lebanon",https://jobs.jobsforhumanity.com/Vision interiors/52d54c31-45b8-4b4d-b8dd-5dda169d375d.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
DESIGN,Interior Designer,"Hazmieh, Lebanon",https://jobs.jobsforhumanity.com/Vision interiors/88b9d922-7255-4588-a182-4be9ef2ba3bd.html?trid=51b2ed8b-4b69-4a77-a6da-f2126726b844,29-03-2025,Full-time,Associate
